,name,length,start,end,tags,date,filename
0,BACH MOV 1,2.1094104308390023,34.365,36.474,"4L, T,  E, HR",2021-09-24,"Bach Mov 1 v2_[4L, T,  E, HR]_[0,34,365]_[0,36,474] [2021-09-24 222332].wav"
1,BACH MOV 1,2.21875283446712,16.474,18.693,"4L, T, FL, MR",2021-09-24,"Bach Mov 1 v2_[4L, T, FL, MR]_[0,16,474]_[0,18,693] [2021-09-24 222331].wav"
2,BACH MOV 1,2.253922902494331,26.67,28.924,"4L, T, FL, MR",2021-09-24,"Bach Mov 1 v2_[4L, T, FL, MR]_[0,26,670]_[0,28,924] [2021-09-24 222331].wav"
3,BACH MOV 1,3.062517006802721,72.162,84.224,"C,T,LT",2021-09-24,"Bach Mov 1 v2_[C,T,LT]_[1,12,162]_[1,24,224] [2021-09-24 222333].wav"
4,BACH MOV 1,1.6250340136054422,67.314,68.939,"D, 2L, HR, B",2021-09-24,"Bach Mov 1 v2_[D, 2L, HR, B]_[1,7,314]_[1,8,939] [2021-09-24 222332].wav"
5,BACH MOV 1,1.5546938775510204,101.521,103.076,"FL, 3L, T, MR",2021-09-24,"Bach Mov 1 v2_[FL, 3L, T, MR]_[1,41,521]_[1,43,76] [2021-09-24 222333].wav"
6,BACH MOV 1,1.0000226757369615,89.224,90.224,"LT, MR, T",2021-09-24,"Bach Mov 1 v2_[LT, MR, T]_[1,29,224]_[1,30,224] [2021-09-24 222333].wav"
7,BACH MOV 1,1.2968934240362813,11.474,12.771,"LT, MR",2021-09-24,"Bach Mov 1 v2_[LT, MR]_[0,11,474]_[0,12,771] [2021-09-24 222156].wav"
8,BACH MOV 1,3.4531292517006804,55.506,58.959,"T, 3L, R, MR",2021-09-24,"Bach Mov 1 v2_[T, 3L, R, MR]_[0,55,506]_[0,58,959] [2021-09-24 222332].wav"
9,BACH MOV 1,2.296893424036281,43.131,45.427,"T, 4L, FL, MR",2021-09-24,"Bach Mov 1 v2_[T, 4L, FL, MR]_[0,43,131]_[0,45,427] [2021-09-24 222332].wav"
10,BACH MOV 1,0.8789342403628118,100.642,101.521,"T, HR, B",2021-09-24,"Bach Mov 1 v2_[T, HR, B]_[1,40,642]_[1,41,521] [2021-09-24 222333].wav"
11,BACH MOV 1,1.4531519274376417,91.365,92.818,"T, LR, FL, UL",2021-09-24,"Bach Mov 1 v2_[T, LR, FL, UL]_[1,31,365]_[1,32,818] [2021-09-24 222333].wav"
12,BACH MOV 2,1.4531519274376417,32.413,33.866,"3L, T, MR, R",2021-09-25,"Bach Mov 2 v2_[3L, T, MR, R]_[0, 32,413]_[0,33,866] [2021-09-25 001402].wav"
13,BACH MOV 2,1.3906349206349207,42.335,43.725,"LT, LR, T",2021-09-25,"Bach Mov 2 v2_[LT, LR, T]_[0,42,335]_[0,43,725] [2021-09-25 001403].wav"
14,BACH MOV 2,2.1172108843537414,8.358,10.475999999999999,"R, 4L, T, MR, FD",2021-09-25,"Bach Mov 2 v2_[R, 4L, T, MR, FD]_[0,8,358]_[0,10,476] [2021-09-25 001401].wav"
15,BACH MOV 2,1.8593877551020408,25.085,26.944,"R, T, 4L,  MR, FD",2021-09-25,"Bach Mov 2 v2_[R, T, 4L,  MR, FD]_[0,25,85]_[0,26,944] [2021-09-25 001402].wav"
16,BACH MOV 2,1.8437868480725623,61.913,63.757,"R, T, 4L, MR",2021-09-25,"Bach Mov 2 v2_[R, T, 4L, MR]_[1,1,913]_[1,3,757] [2021-09-25 001403].wav"
17,BACH MOV 2,1.3164399092970522,35.327,36.644,"T, FL, R, LR, 3L",2021-09-25,"Bach Mov 2 v2_[T, FL, R, LR, 3L]_[0,35, 327]_[0,36,644] [2021-09-25 001402].wav"
18,BACH MOV 2,1.8476870748299319,12.253,14.101,"T, LR, R, 4L",2021-09-25,"Bach Mov 2 v2_[T, LR, R, 4L]_[0,12,253]_[0,14,101] [2021-09-25 001401].wav"
19,BACH MOV 2,0.29689342403628116,39.413,39.71,"T, ST, LR",2021-09-25,"Bach Mov 2 v2_[T, ST, LR]_[0,39,413]_[0,39,710] [2021-09-25 001402].wav"
20,BACH MOV 3,2.2500226757369615,5.9399999999999995,62.19,"4L, T,  M, MR, C",2021-09-25,"Bach Mov 3 v2_[4L, T,  M, MR, C]_[0,5,940]_[1,2,190] [2021-09-25 005634].wav"
21,BACH MOV 3,2.7109750566893425,116.127,118.838,"4L, T, FL, MR",2021-09-25,"Bach Mov 3 v2_[4L, T, FL, MR]_[1,56,127]_[1,58,838] [2021-09-25 005635].wav"
22,BACH MOV 3,2.4375283446712017,16.002,18.44,"4L, T, M, LR, C",2021-09-25,"Bach Mov 3 v2_[4L, T, M, LR, C]_[0,16,2]_[0,18,440] [2021-09-25 005632].wav"
23,BACH MOV 3,1.9297052154195011,128.19,130.12,"C, LT, T",2021-09-25,"Bach Mov 3 v2_[C, LT, T]_[2,8,190]_[2,10,120] [2021-09-25 005635].wav"
